s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mcnis,mece,mvs,meee,mcad,mth,mciv,mba,total
1,Thinktankers (Internship),1.5,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
2,Deloitte (Internship),0.25,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
3,Biological E. Limited,1.5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
4,INSPIRAGE,4.5,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
5,Value Labs,2.7,NA,1,NA,0,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,4
6,Factset,6.5,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
7,Oracle,7.5,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
8,Heterodrugs (MBA),2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
9,HUAWEI,7.4,2,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
10,Babycell  (BioTech & MBA),7.8,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6
11,Godrej & Boyce Mfg. Co. Ltd,5.5,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
12,Samsung,7.5,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
13,Pernod -Ricard India Pvt Ltd,4.0,NA,NA,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
14,Kent RO Systems Ltd.,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7
15,Aurobindo Pharma (Chemical),3.6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
16,Bonaven Software Pvt.Ltd,4.0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
17,Orient Cements,4.0,NA,NA,1,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
18,GE India Technology,5.8,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
19,Dr.Reddy's Labs,4.0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
20,BEL  (Bharat Electronics Limited),7.5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
21,Technoforce Solutions Pvt Ltd,4.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
22,Infor,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,1
23,Aurobindo Pharma (Mechanical),3.6,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
24,Progress Software Internship,0.2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
25,Commscope Internship,0.2,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
26,AMAZON  (Pooled),12.0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
27,ARECESIUM (DESHAW) (Pooled),15,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
28,JP Morgan Code for Good,6.3,NA,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
29,Oracle GBU,9.0,0,9,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
30,Deloitte,6.25,6,11,3,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
31,Microsoft,9.78,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
32,PEGA Systems,8.13,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
33,Next Education Solutions,5.0,1,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
34,Wells Fargo,5.5,2,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
35,ITC,8.2,NA,NA,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
36,NCR Corporation,5.5,7,10,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
37,Cognizant,3.5,58,38,24,13,20,3,12,9,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,180
38,Capgemini (Internship),0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3
39,Infosys,3.28,63,41,23,7,30,9,19,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209
40,Infosys Pega Drive,4.45,NA,12,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
41,Wipro,3.3,48,31,26,17,28,6,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
42,DELOITTE TAX (MBA),6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
43,Accenture,3.5,94,74,41,23,31,15,24,17,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,340
44,ION Trading,12,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
45,PERVACIO,12,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
46,ZENSAR Pega Drive,5,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
47,HYUNDAI,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
48,Capgemini,3.5,26,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
49,TCS Pega Drive,4.5,NA,18,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
50,iBgroup (Pooled),18,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
51,CA Technology,6,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
52,ELEATION Academy,5.5,NA,NA,NA,NA,22,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
53,Franklin Templeton (MBA),3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13
54,Virtusa Polaris with Pega,4,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55,Mobis Technical Center of India,4.97,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
56,Hexagon Center India Pvt Ltd,4.85,NA,3,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
57,Verity Knowledge Solutions,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
58,Progress Software (Internshop),0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
59,Karvy Stock Broking Ltd   (MBA),6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
60,AMAZON,2.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
61,JustDial (MBA),3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
62,Bank of America,4.0,6,7,0,2,3,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
63,Dr.Reddy's Labs,6.5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
64,GE (Internship),0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,2
65,"GE Corporation Consultant
Internship M.E",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,2
66,HIL Limited,4.5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
67,"GE Corporation Consultant
Internship M.E",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,2
68,HIL Limited,4.5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
69,"GE Appliances, Haier, non-GE",6.4,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
70,UBER,3.7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
71,ServiceNow,9.8,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
72,ICICI MBA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
